verb,noun,instruction
pay,tax,They do not pay income tax at all
build,team,Build a team of talented players
make,movie,Make a movie
add,seatpost,Add a seatpost
buy,car,buy a new car
receive,review,To receive a strong performance review you need to
reduce,amount,a progressive consumption tax reduces the amount of money spent on goods and services
transfer,vibration,to transfer vibrations
save,money,to save money
decorate,wall,Decorate the wall with a picture of your favorite animal
drink,glass,Drink a glass of water
have,understanding,A support team should have a good understanding of the technology they are working with
purchase,variety,Consumers can purchase a variety of salt products
ask,question,if you want to know more about something ask questions
achieve,type,You can achieve type 2 fun by playing video games
eat,lot,Eat a lot of fruits and vegetables
earn,money,Formula 1 drivers earn so much money
use,knife,Use a knife sharpener
have,brain,have a brain
eat,fruit,eat more fruits and vegetables
use,dryer,Use a hair dryer to melt the wax
thrash,band,thrash metal bands
use,bag,use a sleeping bag
burn,fuel,humans burning fossil fuels
strengthen,muscle,Strengthens the muscles in your body
ask,question,ask more meaningful questions
develop,sportsmanship,to develop good sportsmanship
get,exercise,to get exercise
s,right,women s right to vote
install,system,Install a security system in your car
support,service,Alexa supports many subscriptionbased and free streaming services on Amazon devices
attract,customer,to attract new customers
cleanse,face,Cleanse your face with warm water and a facial cleanser
boil,water,You can boil the water and use it for cooking or drinking
eat,fruit,Eat more fruits and vegetables
play,chess,Playing chess is fun and educational
slap,shot,slap shot
permit,application,Producer API  Permits an application to publish streams
get,exercise,to get exercise
win,album,List of Mercury Prize winning albums since 2000
fill,bowl,Fill a bowl with water and add green food coloring
spread,butter,Spread peanut butter on one side of a bread slice then spread with jelly
write,book,Write a book
roleplay,game,roleplaying video game
use,hammock,yoga that uses a hammock
replace,human,AI will eventually replace humans
concern,conflict,The main story arc concerns Harrys conflict with Lord Voldemort3 Other major themes in the series include prejudice corruption and madness
pick,name,You should pick a name that is meaningful to you and your baby
ask,friend,If you are looking for a good interior decorator ask your friends and family to recommend one
turn,light,To reduce your electricity bill turn off the lights when not in use
plan,journey,To plan a Lakehouse migration journey you will need to know where the lake is located
receive,mm,Deserts generally receive less than 250 mm 10 in of precipitation each year
begin,career,Primarily a character actor Harvey began his career on stage and in silent films
store,food,storing food in the freezer
use,thermometer,Use a meat thermometer to check the internal temperature
debate,weight,Historians have long debated the relative weight of nonmaritime factors as contributing causes
have,lot,New Delhi has a lot to offer in terms of architecture culture and food
prepare,space,To prepare the living space for a new dog you should
recommend,routine,Can you recommend a workout routine for me
get,gun,annie get your gun
use,crane,Use a crane to lift the truck
have,enamel,Beavers have a thick enamel that is colored orange or reddishbrown by iron compounds
compose,music,You can compose electronic music in 3 simple ways 
grill,asparagus,grilled asparagus
find,group,Find a group of people to hang out with
have,tornado,The United States has the most tornadoes of any country
have,aspect,funerals may have religious aspects that are intended to help the soul 
plug,phone,Plug the phone into a wall outlet
point,existence,A review study from Indonesia points out the existence of contradicting results on that issue
have,taste,sparkling water has a pleasant taste
fill,cup,Fill a cup with boiling water and add 2 teaspoons of ground cardamom
find,team,Find a team that you like
gain,trust,You can gain trust in a workplace by showing that you are trustworthy
controller,drive,controllers a tape drive
give,sense,it gives you a sense of pride
have,lot,New England has a lot of historic houses
have,title,Mercedes Schumacher has a jointrecord seven World Drivers Championship titles tied with Lewis Hamilton
eat,chocolate,Eat a hot chocolate
leave,act,Rydel left the third and final act of his play open
sign,deal,She signed a songwriting deal with SonyATV Music Publishing in 2004
take,nap,take a nap
facilitate,user,The simple chart mode facilitates users to write visualization fast and easily
comply,obligation,To comply with a data controllers legal obligations
freeze,rain,freezing rain
have,impact,Work from home has a negative impact on the quality of life for people who live in rural areas because they are more likely to be unemployed and have less control over their own time
use,cloth,Use a soft cloth to clean the pan
strike,iceberg,striking an iceberg
leave,color,leaves change color in the fall season
take,time,Take time to appreciate the little things in life
have,reputation,Seattle has a wellearned reputation for frequent rain
enjoy,nature,to enjoy nature
wear,helmet,wears a helmet
find,use,Eucalyptus oil finds many uses like in fuels
have,support,Spark Streaming has support builtin to consume from Kafka Flume
pack,towel,Pack a beach towel and sunscreen
get,gun,annie get your gun
amplify,signal,It amplifies a signal by increasing the voltage
take,step,Take 2 steps
spend,time,Spend time with people you like
wipe,keyboard,Wipe down keyboard with a microfiber cloth
climb,wall,Climb up the wall
use,process,To develop OKRs for your team at work you should use the following process
increase,safety,increasing safety
replace,dashboard,Lakeview replacing dashboard
dimwitte,man,Two dimwitted men named Sabapathy
use,dictionary,Use a dictionary to help you learn the language
use,card,Use a credit card
throw,ball,throw the ball to first base
make,bun,Make your own burger buns
eat,noodle,You can eat noodles in many different ways
lie,egg,eagles lay eggs
take,leader,It takes a leader to appreciate you
scatter,plot,scatter plot
list,abuse,Trend Micro lists premium service abuse as the most common type of Android malware where text messages are sent from infected phones to
have,wheel,not having wheels
freeze,meal,freeze dried meals
plant,houseplant,Plant your houseplant in a sunny wellventilated location
buy,bike,Buy a bike that you like
cough,fever,coughing fever
grease,skillet,Preheat the oven to 375 degrees F Lightly grease an 8inch 22cm skillet with cooking spray and heat it on medium high until shimmering then add 2 tablespoons of vegetable oil saute 1 chopped garlic clove for 34 minutes or till softened but still slightly chunky in texture before adding 12 teaspoon each ground coriander seed 14 cup cumin seeds 23 crushed Add 4 cups chicken stock 325 grams reduce by half while stirring frequently so that all ingredients are coated evenly
attend,school,He attended medical school at Georgetown University where he graduated with honors
want,dog,I want a dog
play,team,to play Elsons former team
discuss,issue,to discuss family issues
represent,author,represents authors of romantic fiction in the United Kingdom
reduce,stress,meditating reduces stress
take,ride,Take a boat ride on the canals
love,purple,i love the color purple
lower,pressure,lowering blood pressure
bake,salt,flour baking soda salt
drive,car,drive a car
love,carpet,i love my carpet
have,lot,they have a lot of experience
get,gun,annie get your gun
use,fan,You can use a fan to keep your house cool
drink,water,People can drink far more water than necessary while exercising
eat,chicken,I should eat chicken
eat,fruit,Eat more fruits and vegetables
eat,dairy,Vegans do not eat meat dairy or eggs
use,boat,Use a rescue boat to pull you out
use,sandpaper,Use sandpaper to smooth out the concrete
mix,ingredient,To make a good pizza tonight you should mix the following ingredients together 2 tablespoons olive oil 1 teaspoon garlic salt 12 cup grated Parmesan cheese optional Bake at 400 degrees F for 20 minutes
find,time,You can find time to do everything effectively in life by having a schedule
meet,alien,last night you met an alien
choose,puppy,Choose a puppy that you feel comfortable with
eat,lot,Eat a lot of fruits and vegetables
give,advice,Id like to get a dog Can you give me some advice
have,time,have a good time
carry,oxygen,Hemoglobin in blood carries oxygen from the respiratory organs
include,problem,memory impairment and a disruption in thought patterns the most common symptoms include emotional problems
make,debut,She made her television debut as Rocky Blue on the Disney Channel sitcom Shake It Up 20102013
take,train,You can take a bus train or taxi
eat,diet,Eat a diet rich in fruits and vegetables
build,mass,to build muscle mass
get,gun,annie get your gun
improve,performance,In order to improve the performance of your Kafka cluster you can
include,software,Its flagship products include Adobe Photoshop image editing software
need,bag,You need a carryon bag
take,place,The story takes place in a dystopian future world where technology has become so advanced that it is now possible for humans to live forever In this futuristic society there are no living beings and the only thing people have left of their own species the human race
ionize,radiation,ionizing radiation
get,gun,annie get your gun
add,cell,To add two cells in Excel right click on the first cell and select Insert
ask,friend,If you are looking for a new bike ask your friends and family what they think of it
call,family,call family and friends
convert,energy,An LCD panel converts electrical energy into light
use,variety,Photographers use a wide variety of techniques to capture their subjects
use,pair,Use a pair of ski boots
place,apple,Place the apple on a cutting board and cut it in half lengthwise
drink,water,To increase your stamina drink more water
take,bus,Take a bus
winemake,making,Winemaking also wine making or vinification
have,hole,they have holes in them
give,smoke,The use of wax made solely from animal fat does not give as much white colored smoke
make,music,You can make electronic music by using a synthesizer
find,port,You can find a charging port on the back of your laptop
use,internet,You would use the Internet to search for car dealerships in your area
have,lot,Romania has a lot to offer for those who are interested in history and culture
include,institution,The biggest institutional shareholders of Credit Suisse include the following institutions Saudi National Bank Qatar Investment Authority BlackRock
use,rotor,You can use the rotors to make new brake pads for your car
drink,glass,Drink a glass of water
press,button,Press the Home button
include,yoghurt,Dairy products include cheese yoghurt and milk
place,pomegranate,Place the pomegranate between your thumb and index finger
spend,time,Spend more time with your dog
take,nap,take a nap
consider,proof,Considered a proof of residence
drink,glass,Drink a glass of water
check,post,If youre looking for a great way to celebrate the holidays check out this post
play,game,Play a game of hide and seek
use,screwdriver,use a screwdriver to remove the head of an apple
dress,olive,Greek dressing olives and feta cheese
use,mallet,Use a tuning mallet to tune the drum
take,nap,Take a nap
evaluate,performance,You can evaluate the performance of your marketing spend by looking at how much money you have spent on it
place,egg,Place the eggs in a pan and cook over medium heat until they are set
win,championship,they won nfl championship
use,component,lime used for cement an essential component of concrete
keep,animal,to keep animals from escaping
sell,good,sells consumer goods
get,job,Get a parttime job
read,book,Read a book listen to music or watch movies
have,defender,it has its defenders as well
change,life,books that will change your life
consider,study,he should consider law studies
mitigate,factor,to mitigate confounding factors
learn,rule,Learn the basic rules of chess
use,fence,Use a chain link fence
save,money,Solar panels and a powerwall save money on your electricity bill
drink,glass,Drink a glass of water
start,hustle,Start a side hustle
use,system,use a home theater system
do,jump,You can do a toe loop jump by standing on one foot and flipping over your head
use,knife,Use a butter knife to pry the lid off
take,care,Take care of yourself
add,dash,Add a dash of cayenne pepper to the broth
do,exercise,Yes she can do exercises that will help her lose weight
find,tournament,Where can I find Yukigassen tournaments
improve,quality,improve the quality of life
commemorate,crucifixion,commemorating the crucifixion of Jesus
get,trainer,Get a personal trainer
make,sauce,To make a vegan Alfredo sauce you can use almond milk instead of butter
defeat,nominee,Nixon and Agnew defeated the Democratic nominees Senator George McGovern of South Dakota
get,shower,Get a hot shower
win,title,host Colombia won its first title
fill,tub,Fill a tub with warm water and place the dog in it
wear,shirt,Wear a longsleeved shirt and pants
reduce,amount,Context switching reduces the amount of memory a computer has available
build,relationship,Build a relationship with your neighbors
get,gun,annie get your gun
make,list,Make a list of all the things you want to do
play,chess,play chess as you would any other game
get,degree,Get a degree in computer science
have,rating,ECS has a lower customer satisfaction rating
buy,pack,Buy a six pack of beer
use,gauge,Use a tire pressure gauge to keep track of how much air is in your tires
have,leak,Id like to make a warranty claim against the company that installed my swimming pool It has two leaks and it is not covered under any of their warranties so please let me know what you can do with this information
have,history,Chinese and Japanese have a long history
authorize,provider,FedRAMP authorizes cloud service providers to do business with federal agencies
orbit,star,when it orbits a star
give,advice,Id like to get a dog Can you give me some advice
exhibit,variety,Visually anime works exhibit a wide variety of art styles
prevent,covid19,You can prevent COVID19 by eating a diet rich in fruits and vegetables
cut,rib,Cut the short ribs in half lengthwise then cut them into 12 inch thick slices
fill,cup,Fill a cup with hot water and add milk
give,peace,Give us peace
write,response,Write a response to the proposed edits
have,application,has various applications in computer science
provide,environment,childcare provides a safe and secure environment for your child
have,roster,Neumann University has a very active club sports roster
plant,tree,Plant more trees
have,lot,it has a lot to offer
use,system,Use a rainwater harvesting system
use,grinder,Use a coffee grinder to grind the beans
pay,attention,You should pay attention to the condition of a house
eat,lot,Eat a lot of food and drink water
build,foundation,Build a foundation
create,wetland,creates wetlands used by many other species
leave,traffic,left hand traffic
use,tool,use the data tools
give,rating,The New York Times gave the series an 810 rating describing it as a warm and winsome comedy with unrelenting optimism63
win,award,He has won five Ballon dOr awards
crown,champion,Argentina were crowned the champions
use,baguette,To make french toast you can use a baguette and butter
get,job,Get a job
use,needle,Use a needle and thread
create,identity,Create a new corporate identity for the company
reduce,stress,meditation reduces stress
press,button,Press the power button on your Model Y
take,place,The story takes place in a modern day bowling alley A young woman is about to throw her first strike when she discovers that the ball has special powers and can roll strikes every time She runs for help but cannot find anyone who might have found it or even know where they could get one of these magical balls
box,art,boxing mixed martial arts
find,book,In the US you can find special edition books at bookstores and libraries
play,game,Playing card games are a great way to spend time with your family and friends You can also use them as an educational tool by teaching children about the different types of cards that they have in their decks
impact,supply,A drought can impact food supplies and this change has a negative effect on the environment
promise,throne,Edward had previously promised the throne
buy,suit,If you want to impress your father in law buy him a nice suit and tie
bridge,period,Beethovens stylistic innovations bridge the Classical and Romantic periods
inform,team,informing the security team
wire,outlet,To wire an electrical outlet you first need to make sure that the circuit breaker is turned off
choose,scheme,Choose a color scheme that matches the rest of your home
install,barrier,Install acoustic barriers
stand,board,stand up paddle board
